Symbol,Maximum Close,Minimum Close,Current Close,Max-Min %,Current-Max %,Current-Min %,Date
STAR,587.2999877929688,271.70001220703125,584.8499755859375,53.73743949356097,-0.41891293653157496,53.543639642828744,2023-12-15
FCL,369.3500061035156,215.8000030517578,357.29998779296875,41.573033847120946,-3.372521332838401,39.60257194948482,2023-12-15
KKCL,798.9000244140625,377.6499938964844,774.5,52.728754242627,-3.150422777800194,51.239510148936816,2023-12-15
HINDWAREAP,650.7000122070312,331.3500061035156,505.5,49.077916107662375,-28.724038023151582,34.45103736824617,2023-12-15
MAHLOG,503.25,349.8500061035156,397.1499938964844,30.481866646097245,-26.715348793677734,11.909854845748105,2023-12-15
EMIL,229.1999969482422,63.150001525878906,199.35000610351562,72.44764294646156,-14.973659358317995,68.32204685607721,2023-12-15
JTEKTINDIA,157.0500030517578,96.19999694824219,144.0,38.745625546700396,-9.062502119276258,33.1944465637207,2023-12-15
MANINFRA,203.8000030517578,66.6500015258789,198.10000610351562,67.29636873020446,-2.877333050289609,66.3553763390338,2023-12-15
ITDC,493.6499938964844,277.29998779296875,442.6000061035156,43.82659957023782,-11.534113666737984,37.34749571419716,2023-12-15
APCOTEXIND,579.4500122070312,400.3999938964844,520.9000244140625,30.8999938801579,-11.240158389093772,23.133043745414163,2023-12-15
PRICOLLTD,367.6000061035156,176.5,346.70001220703125,51.985854986548105,-6.028264540124672,49.091435308458145,2023-12-15
PTC,197.25,74.9000015258789,189.39999389648438,62.02788262312856,-4.1446707267614835,60.45406338987787,2023-12-15
AARTIPHARM,484.5,247.14999389648438,475.1000061035156,48.988649350570824,-1.978529525515579,47.97937471660758,2023-12-15
MBAPL,334.92498779296875,255.9499969482422,299.75,23.57990407498181,-11.734774910081319,14.6121778321127,2023-12-15
SAGCEM,273.04998779296875,181.25,269.54998779296875,33.62021311005262,-1.2984604557608879,32.7582978266683,2023-12-15
TDPOWERSYS,295.1000061035156,114.69999694824219,290.70001220703125,61.13182156017728,-1.513585728146024,60.543518358521794,2023-12-15
JAICORPLTD,364.54998779296875,116.94999694824219,335.79998779296875,67.91935238942892,-8.561644146850082,65.17272150100686,2023-12-15
DBL,427.25,162.10000610351562,394.75,62.05968259718768,-8.233058898036733,58.93603391931207,2023-12-15
BARBEQUE,1029.9000244140625,596.2000122070312,670.2000122070312,42.110884738911885,-53.670546949485356,11.041479954067905,2023-12-15
UNIPARTS,710.2999877929688,507.3500061035156,545.0999755859375,28.572432095917055,-30.306369401219452,6.925329512598817,2023-12-15
UFLEX,572.8499755859375,327.1499938964844,468.54998779296875,42.89080774388439,-22.26016231144461,30.178208852918097,2023-12-15
WONDERLA,983.8499755859375,319.8999938964844,843.5499877929688,67.48488063884271,-16.63208936319757,62.076936930144676,2023-12-15
PSPPROJECT,821.6500244140625,651.6500244140625,756.7000122070312,20.69007423461478,-8.583323795330017,13.882646504335899,2023-12-15
KIRLOSIND,3670.14990234375,1803.0,3425.75,50.87394117475671,-7.134201338210611,47.36918922863607,2023-12-15
IPL,360.75,200.64999389648438,359.79998779296875,44.379766071660605,-0.26403897700460544,44.232906974988644,2023-12-15
DISHTV,21.950000762939453,12.550000190734863,20.850000381469727,42.824602485097046,-5.275781109564599,39.80815366368733,2023-12-15
TATAMETALI,1053.699951171875,712.2999877929688,1053.699951171875,32.40011191034198,0.0,32.40011191034198,2023-12-15
PAISALO,98.19999694824219,48.25,97.8499984741211,50.86557892111656,-0.35768878853243896,50.68983060560708,2023-12-15
PFOCUS,127.30000305175781,66.1500015258789,115.05000305175781,48.03613516098382,-10.647544263418284,42.50325965126672,2023-12-15
HEMIPROP,144.25,81.4000015258789,141.3000030517578,43.570189583446165,-2.087754341492556,42.39207376657854,2023-12-15
LGBBROSLTD,1330.4000244140625,652.5,1330.199951171875,50.95460102029272,-0.015040839688141634,50.94722418045777,2023-12-15
MAITHANALL,1201.4000244140625,771.9000244140625,1190.3499755859375,35.749957655400614,-0.9283025206671448,35.15352289278599,2023-12-15
SSWL,290.8999938964844,130.9499969482422,270.0,54.98453087116935,-7.740738480179399,51.50000113028067,2023-12-15
NEULANDLAB,5466.9501953125,1398.75,5159.2998046875,74.41443675123796,-5.9630260359261,72.88876295327593,2023-12-15
HATHWAY,21.049999237060547,12.449999809265137,20.350000381469727,40.85510565080821,-3.4397977516905813,38.82064090474495,2023-12-15
